"CODE_RPA","DESCRIPTION_RPA"
"RS-AA","VOIE RESERVEE 06h30-09h30 15h30-18h30 (AERIEN)"
"RS-AB","VOIE RESERVEE 06h30-09h30 (AERIEN)"
"RS-AB-1","VOIE RESERVEE 06h30-09h30 LUN. VEN. (AERIEN) FL. GAUCHE"
"RS-AC","VOIE RESERVEE 15h30-18h30 (AERIEN)"
"RS-AC-1","VOIE RESERVEE 15h30-18h30 LUN. VEN. (AERIEN) F. GAUCHE"
"RS-AD","VOIE RESERVEE BUS-TAXI 6h30-9h LUN. AU VEN. (AERIEN)"
"RS-AE","VOIE RESERVEE BUS-TAXI 16h-18h30 LUN. AU VEN. (AERIEN)"
"RS-AH","VOIE RESERVEE BUS-TAXI 15h-18h30 LUN A VEN (RIVE)"
"RS-AI","VOIE RESERVEE BUS-TAXI 6h-9h30 LUN A VEN (RIVE)"
"RS-AJ","VOIE RESERVEE BUS-TAXI 14h30-18h30 LUN A VEN (AERIEN)"
"RS-AK","VOIE RESERVEE BUS-TAXI 9h-22h (RIVE)"
"RS-AL","VOIE RESERVEE BUS-TAXI 06h 09h30 15h-18h30 LUN A VEN (RIVE)"
"RS-AM","VOIE RESERVEE BUS-TAXI 06h-19h (RIVE)"
"RS-AN","VOIE RESERVEE BUS-TAXI 06h-19h (AERIEN)"
"RS-AP","VOIE RESERVEE BUS-TAXI 06h-19h LUN A VEN (AERIEN)"
"RS-AQ","VOIE RESERVEE BUS-TAXI (RIVE)"
"RS-AU","VOIE RESERVEE BUS-TAXI FIN"
"RS-AV","VOIE RESERVEE BUS-TAXI 06h30-09h30 15h30-18h30 LUN A VEN (RIVE)"
"RS-AW","VOIE RESERVEE BUS-TAXI 06h30-09h30 15h30-18h30 LUN A VEN (AÉRIEN"
"RS-AX","VOIE RESERVEE BUS-TAXI 06h30-09h30 LUN A VEN FLECHE GAUCHE (RIVE)"
"RS-AY","VOIE RESERVEE BUS-TAXI 15h30-18h30 LUN A VEN FLECHE GAUCHE (RIVE)"
"RS-BA","VOIE RESERVEE (AERIEN)  MACLE SUR FOND NOIR"
"RS-BA-R","VOIE RESERVEE (AERIEN)  MACLE SUR FOND ROUGE"
"RS-BE","VOIE RESERVEE BUS-TAXI 06h-10h30 14h30-19h FLECHE GAUCHE (RIVE)"
"RS-BF","VOIE RESERVEE BUS-TAXI 06h30-19h LUN A VEN (RIVE)"
"RS-BH","VOIE RESERVEE BUS-TAXI 06h30-19h (RIVE)"
"RU-E-1","AV. BERTHE LOUARD - AV. JOSEPH MELANCON"
"RU-E-2","AV. B. LOUARD, J. MELANCON, PL. DE LA COLOMBIERE, LEGEN"
"RU-EA-*","ALBERT-MALOUIN, MADORE ET ALFRED-DURANLEAU     *=FLECHE"
"RV-JA","\P RESERVE HANDICAPES 09h30-17h LUN. AU VEN."
"RV-JB","\P RESERVE HANDICAPES 07h-09h ET 15h-17h LUN. AU VEN."
"RV-JC","\P RESERVE HANDICAPES 08h-20h, LUN. AU VEN."
"RV-JD","\P RESERVE HANDICAPES 09h30-20h, LUN. A VEN."
"RV-JE","\P RESERVE HANDICAPES 08h-16h, LUN. A VEN."
"RV-JF","\P RESERVE HANDICAPES 08h-15h30, LUN. A VEN."
"RV-JH","\P EXCEPTE AUTOBUS 08h-16h LUN A VEN SEPT. A JUIN"
"RV-JI","\P EXCEPTE HANDICAPES 10h-20h 21 JUIN AU 1 SEPT."
"RZ-C","POIDS LIMITE"
"RZ-C-10","POIDS LIMITE"
"RZ-D","LIMITATION DE POIDS (3 TONNAGES)"
"SB-AA","\P 07h-09h LUNDI JEUDI 1 MARS AU 1 DEC."
"SB-AA-A","\P 07h-09h LUNDI JEUDI 1 AVRIL AU 1 DEC."
"SB-AB","\P 06h30-07h30 MAR. VEN. 1 MARS AU 1 DEC."
"SB-AB-A","\P 06h30-07h30 MAR. VEN. 1 AVRIL AU 1 DEC."
"SB-AC","\P 09h-12h MAR. VEN."
"SB-AE","\P 06h30-07h30 LUN. JEU. 1 MARS AU 1 DEC."
"SB-AE-A","\P 06h30-07h30 LUN. JEU. 1 AVIL AU 1 DEC."
"SB-AF","\P 09h-12h LUN. JEU. 1 MARS AU 1 DEC."
"SB-AF-A","\P 09h-12h LUN. JEU. 1 AVRILAU 1 DEC."
"SB-AH","\P 08h-11h MAR. VEN. 1MARS AU 1 DEC."
"SB-AH-A","\P 08h-11h MAR. VEN. 1AVRIL AU 1 DEC."
"SB-AI","\P 07h-09h MAR. ET VEN. 1er MARS AU 1er DEC."
"SB-AI-A","\P 07h-09h MAR. ET VEN. 1er AVRIL AU 1er DEC."
"SB-AJ","\P 09h-12h LUNDI VENDREDI"
"SB-AM","\P 09h-10h LUNDI, JEUDI"
"SB-AN","\P 10h-11h LUNDI, JEUDI"
"SB-AP","\P 09h30-10h30 LUNDI, JEUDI"
"SB-AS","\P 07h-09h MAR. JEU. 1 MARS AU 1 DEC."
"SB-AS-A","\P 07h-09h MAR. JEU. 1 AVRIL AU 1 DEC."
"SB-AT","\P 06h-07h LUNDI, JEUDI, 1 MARS AU 1 DEC."
"SB-AT-A","\P 06h-07h LUNDI, JEUDI, 1 AVRIL AU 1 DEC."
"SB-AU","\P 10h30-11h30 MARDI, JEUDI"
"SB-AV-A","\P 07h-09h MER ET VEN 1 AVRIL AU 1 DEC."
"SB-AW","\P 07h-09h LUN ET MER 1 MARS AU 1 DEC."
"SB-AW-A","\P 07h-09h LUN ET MER 1 AVRIL AU 1 DEC."
"SB-AY","STAT. INT. MAR ET VEN DE 10H30 - 11H30"
"SB-AZ-A","\P 08h30-11h30 LUN. MER. 1 AVRIL AU 1 DEC."
"SB-BA-A","\P 08h-09h30 MAR. JEU. 1 AVRIL AU 1 DEC."
"SB-BA-A+F","\P 08h-09h30 MAR. JEU. 1 AVRIL AU 1 DEC."
"SB-BB-A","\P 08h30-11h30 MAR. JEU. 1 AVRIL AU 1 DEC"
"SB-BE-A","\P 07h30-08h30 MER. VEN. 1 AVRIL AU 1 DEC."
"SB-BF","\P 07h-09h LUN. MER. 1 MARS AU 1 DEC."
"SB-BF-A","\P 07h-09h LUN. MER. 1 AVRIL AU 1 DEC."
"SB-BG-A","\P 07h-09h MAR. JEU. 1 AVRIL AU 1 DEC."
"SB-BL-A","\P 07h-08h MER. VEN. 1 AVRIL AU 1 DEC."
"SB-DB","\P 13h-15h30 MARDI, VENDREDI"
"SB-EB","\P 17h-18h MER. VEN. 1ER MARS AU 1ER DEC."
"SB-EB-A","\P 17h-18h MER. VEN. 1ER AVRIL AU 1ER DEC."
"SB-FA","\P 19h30-20h30 LUN. JEU. 1 MARS AU 1 DEC."
"SB-FA-A","\P 19h30-20h30 LUN. JEU. 1 AVRIL AU 1 DEC."
"SB-JA","\P 08h-09h LUN. JEU. 1 MARS AU 1 DEC."
"SB-JA-A","\P 08h-09h LUN. JEU. 1 AVRIL AU 1 DEC."
"SB-JA-A+F","\P 08h-09h LUN. JEU. 1 AVRIL AU 1 DEC."
"SB-JB","\P 08h30-09h30 LUN. JEU. 1 MARS AU 1 DEC."
"SB-JB-A","\P 08h30-09h30 LUN. JEU. 1 AVRIL AU 1 DEC."
"SB-JC","\P 09h-10h LUN. JEU. 1 MARS AU 1 DEC."
"SB-JC-A","\P 09h-10h LUN. JEU. 1 AVRIL AU 1 DEC."
"SB-JD","\P 09h30-10h30 LUN. JEU. 1 MARS AU 1 DEC."
"SB-JD-A","\P 09h30-10h30 LUN. JEU. 1 AVRIL AU 1 DEC."
"SB-JE","\P 10h-11h LUN. JEU. 1 MARS AU 1 DEC."
"SB-JE-A","\P 10h-11h LUN. JEU. 1 AVRIL AU 1 DEC."
"SB-JF","\P 10h30-11h30 LUN. JEU. 1 MARS AU 1 DEC."
"SB-JF-A","\P 10h30-11h30 LUN. JEU. 1 AVRIL AU 1 DEC."
"SB-JG","\P 11h-12h LUN. JEU. 1 MARS AU 1 DEC."
"SB-JH","\P 11h30-12h30 LUN. JEU. 1 MARS AU 1 DEC."
"SB-JH-A","\P 11h30-12h30 LUN. JEU. 1 AVRIL AU 1 DEC."
"SB-JI","\P 09h30-17h MAR. VEN."
"SB-JJ","\P 12h-13h LUN. JEU. 1 MARS AU 1 DEC."
"SB-JJ-A","\P 12h-13h LUN. JEU. 1 AVRIL AU 1 DEC."
"SB-JK","\P 12h30-13h30 LUN. JEU. 1 MARS AU 1 DEC."
"SB-JK-A","\P 12h30-13h30 LUN. JEU. 1 AVRIL AU 1 DEC."
"SB-JL","\P 09h-17h MAR. VEN."
"SB-JM","\P 13h30-14h30 LUN. JEU. 1 MARS AU 1 DEC."
"SB-JM-A","\P 13h30-14h30 LUN. JEU. 1 AVRIL AU 1 DEC."
"SB-JN","\P 09h-18h MAR. JEU."
"SB-JO","\P 14h30-15h30 LUN. JEU. 1 MARS AU 1 DEC."
"SB-JO-A","\P 14h30-15h30 LUN. JEU. 1AVRIL AU 1 DEC."
"SB-JR","\P 16h-17h LUN. JEU. 1 MARS AU 1 DEC."
"SB-JS","\P 13h-14h LUN. JEU. 1 MARS AU 1 DEC."
"SB-JS-A","\P 13h-14h LUN. JEU. 1 AVRIL AU 1 DEC."
"SB-JT","\P 14h-15h LUN. JEU. 1 MARS AU 1 DEC."
"SB-JT-A","\P 14h-15h LUN. JEU. 1 AVRIL AU 1 DEC."
"SB-JU","\P 17h30-18h30 LUN. JEU. 1 MARS AU 1 DEC."
"SB-JU-A","\P 17h30-18h30 LUN. JEU. 1 AVRIL AU 1 DEC."
"SB-JV","\P 09h-17h MAR. JEU."
"SB-JW","\P 17h-18h LUN. JEU. 1 MARS AU 1 DEC."
"SB-JW-A","\P 17h-18h LUN. JEU. 1 AVRIL AU 1 DEC."
"SB-JX","\P 08h-09h LUN. VEN. 1 MARS AU 1 DEC."
"SB-JY","\P 16h30-17h30 MAR. VEN. 1 MARS AU 1 DEC."
"SB-JZ","\P 08h-16h MAR. JEU."
"SB-KA-A+F","\P 16h-18h30 LUN. MER. 1 AVRIL AU 1 DEC"
"SB-LA","\P 08h-09h LUN. MER. 1 MARS AU 1 DEC."
"SB-LA-A","\P 08h-09h LUN. MER. 1 AVRIL AU 1 DEC."
"SB-LA-A+F","\P 08h-09h LUN. MER. 1 AVRIL AU 1 DEC."
"SB-LB","\P 08h30-09h30 LUN. MER. 1 MARS AU 1 DEC."
"SB-LB-A","\P 08h30-09h30 LUN. MER. 1 AVRIL AU 1 DEC."
"SB-LB-A+F","\P 08h30-09h30 LUN. MER. 1 AVRIL AU 1 DEC."
"SB-LC","\P 09h-10h LUN. MER. 1 MARS AU 1 DEC."
"SB-LC-A","\P 09h-10h LUN. MER. 1 AVRIL AU 1 DEC."
"SB-LD","\P 09h30-10h30 LUN. MER. 1 MARS AU 1 DEC."
"SB-LE-A","\P 10h-11h LUN. MER. 1 AVRIL AU 1 DEC."
"SB-LF","\P 10h30-11h30 LUN. MER. 1 MARS AU 1 DEC."
"SB-LF-A","\P 10h30-11h30 LUN. MER. 1 AVRIL AU 1 DEC."
"SB-LH","\P 11h30-12h30 LUN. MER. 1 MARS AU 1 DEC."
"SB-LI","\P 19h-20h LUN. JEU. 1 MARS AU 1 DEC."
"SB-LI-A","\P 19h-20h LUN. JEU. 1 AVRIL AU 1 DEC."
"SB-LJ","\P 12h-13h LUN. MER. 1 MARS AU 1 DEC."
"SB-LJ-A","\P 12h-13h LUN. MER. 1 AVRIL AU 1 DEC."
"SB-LK","\P 12h30-13h30 LUN. MER. 1 MARS AU 1 DEC."
"SB-LK-A","\P 12h30-13h30 LUN. MER. 1 AVRIL AU 1 DEC."
"SB-LK-A+F","\P 12h30-13h30 LUN. MER. 1 AVRIL AU 1 DEC."
"SB-LL","\P 07h-08h LUN. MER. 1 MARS AU 1 DEC."
"SB-LL-A","\P 07h-08h LUN. MER. 1 AVRIL AU 1 DEC."
"SB-LL-A+F","\P 07h-08h LUN. MER. 1 AVRIL AU 1 DEC."
"SB-LM-A","\P 13h30-14h30 LUN. MER. 1 AVRIL AU 1 DEC."
"SB-LR","\P 16h-17h LUN. MER. 1 MARS AU 1 DEC."
"SB-LR-A","\P 16h-17h LUN. MER. 1 AVRIL AU 1 DEC."
"SB-LT-A","\P 14h-15h LUN. MER. 1 AVRIL AU 1 DEC."
"SB-LU-A","\P 17h30-18h30 LUN. MER. 1 AVRIL AU 1 DEC."
"SB-LU-A+F","\P 17h30-18h30 LUN. MER. 1 AVRIL AU 1 DEC."
"SB-LV","\P 07h30-08h30 LUN. MER. 1 MARS AU 1 DEC."
"SB-LV-A","\P 07h30-08h30 LUN. MER. 1 AVRIL AU 1 DEC."
"SB-MA","\P 08h-09h MAR. JEU. 1 MARS AU 1 DEC."
"SB-MA-A","\P 08h-09h MAR. JEU. 1 AVRIL AU 1 DEC."
"SB-MB-A","\P 08h30-09h30 MAR. JEU. 1 AVRIL AU 1 DEC."
"SB-MB-A+F","\P 08h30-09h30 MAR. JEU. 1 AVRIL AU 1 DEC."
"SB-MD","\P 09h30-10h30 MAR. JEU. 1 MARS AU 1 DEC."
"SB-MD-A","\P 09h30-10h30 MAR. JEU. 1 AVRIL AU 1 DEC."
"SB-ME-A","\P 10h-11h MAR. JEU. 1 AVRIL AU 1 DEC."
"SB-MF","\P 10h30-11h30 MAR. JEU. 1 MARS AU 1 DEC."
"SB-MI","\P 06h30-07h30 MAR. JEU. 1 MARS AU 1 DEC"
"SB-MI-A","\P 06h30-07h30 MAR. JEU. 1 AVRIL AU 1 DEC"
"SB-MJ","\P 12h-13h MAR. JEU. 1 MARS AU 1 DEC."
"SB-MJ-A","\P 12h-13h MAR. JEU. 1 AVRIL AU 1 DEC."
"SB-MK","\P 12h30-13h30 MAR. JEU. 1 MARS AU 1 DEC."
"SB-MK-A","\P 12h30-13h30 MAR. JEU. 1 AVRIL AU 1 DEC."
"SB-ML","\P 21h30-22h30 LUN. JEU. 1 MARS AU 1 DEC."
"SB-ML-A","\P 21h30-22h30 LUN. JEU. 1 AVRIL AU 1 DEC."
"SB-MM","\P 13h30-14h30 MAR. JEU. 1 MARS AU 1 DEC."
"SB-MO-A","\P 14h30-15h30 MAR. JEU. 1 AVRIL AU 1 DEC."
"SB-MO-A+F","\P 14h30-15h30 MAR. JEU. 1 AVRIL AU 1 DEC."
"SB-MR-A","\P 16h-17h MAR. JEU. 1 AVRIL AU 1 DEC."
"SB-MR-A+F","\P 16h-17h MAR. JEU. 1 AVRIL AU 1 DEC."
"SB-MS","\P 13h-14h MAR. JEU. 1 MARS AU 1 DEC."
"SB-MT","\P 14h-15h MAR. JEU. 1 MARS AU 1 DEC."
"SB-MT-A+F","\P 14h-15h MAR. JEU. 1 AVRIL AU 1 DEC."
"SB-MU","\P 07h-08h LUN. JEU. 1 MARS AU 1 DEC."
"SB-MU-A","\P 07h-08h LUN. JEU. 1 AVRIL AU 1 DEC."
"SB-MV","\P 07h30-08h30 LUN. JEU. 1 MARS AU 1 DEC."
"SB-MV-A","\P 07h30-08h30 LUN. JEU. 1 AVRIL AU 1 DEC."
"SB-MW","\P 17h30-18h30 MAR. JEU. 1 MARS AU 1 DEC."
"SB-MW-A","\P 17h30-18h30 MAR. JEU. 1 AVRIL AU 1 DEC."
"SB-MW-A+F","\P 17h30-18h30 MAR. JEU. 1 AVRIL AU 1 DEC."
"SB-NA","\P 08h-09h MER. VEN. 1 MARS AU 1 DEC."
"SB-NA-A","\P 08h-09h MER. VEN. 1 AVRIL AU 1 DEC."
"SB-NB","\P 08h30-09h30 MER. VEN. 1 MARS AU 1 DEC."
"SB-NB-A","\P 08h30-09h30 MER. VEN. 1 AVRIL AU 1 DEC."
"SB-NC","\P 09h-10h MER. VEN. 1 MARS AU 1 DEC."
"SB-NC-A","\P 09h-10h MER. VEN. 1 AVRIL AU 1 DEC."
"SB-NK-A","\P 12h30-13h30 MER. VEN. 1 AVRIL AU 1 DEC."
"SB-NL-A","\P 1h-2h LUN et JEU 1 AVRIL au 1 DEC"
"SB-NM-A","\P 13h30-14h30 MER. VEN. 1 AVRIL AU 1 DEC."
"SB-NV","\P 07h30-08h30 MAR. JEU. 1 MARS AU 1 DEC."
"SB-NV-A","\P 07h30-08h30 MAR. JEU. 1 AVRIL AU 1 DEC."
"SB-NW","\P 07h-08h MAR. JEU. 1 MARS AU 1 DEC."
"SB-NW-A","\P 07h-08h MAR. JEU. 1 AVRIL AU 1 DEC."
"SB-NW-A+F","\P 07h-08h MAR. JEU. 1 AVRIL AU 1 DEC."
"SB-NX","\P 23h30-00h30  MAR A MER, VEN A SAM  1 MARS AU 1 DEC. "
"SB-NX-A","\P 23h30-00h30  MAR A MER, VEN A SAM  1 AVRIL AU 1 DEC."
"SB-NY","\P 23h30-00h30 LUN A MAR, JEU A VEN  1 MARS AU 1 DEC."
"SB-NY-A","\P 23h30-00h30 LUN A MAR, JEU A VEN  1 AVRIL AU 1 DEC."
"SB-NZ","\P 07h30-08h30  SAM ET DIM  1 MARS AU 1 DEC."
"SB-NZ-A","\P 07h30-08h30  SAM ET DIM  1 AVRIL AU 1 DEC."
"SB-OB","\P 08h00 A 16h00 MARDI et VENDREDI"
"SB-OD","\P 09h-18h LUN. JEU. 1 MARS AU 1 DEC."
"SB-OD-A","\P 09h-18h LUN. JEU. 1 AVRIL AU 1 DEC."
"SB-OG","\P 08h-17h MAR. VEN."
"SB-OK","\P 08h-18h LUNDI ET JEUDI"
"SB-OL","\P 6h30-7h30 SAM ET DIM 1 MARS AU 1 DEC."
"SB-OL-A","\P 6h30-7h30 SAM ET DIM 1 AVRIL AU 1 DEC."
"SB-ON","\P 7h-19h MAR. JEU."
"SB-OP","\P 09h-18h LUN. JEU."
"SB-PC","\P 13h-16h MAR. VEN."
"SB-PE-A","\P 13h-14h LUN. VEN. 1 AVRIL  AU 1 DEC."
"SB-PF-A","\P 13h30-14h30 LUN. VEN. 1 AVRIL AU 1 DEC."
"SB-PG","\P 16h30-17h30 LUN. JEU. 1 MARS AU 1 DEC."
"SB-PI","\P 13h-16h LUNDI JEUDI"
"SB-PJ","\P 20h30-21h30 MAR. VEN. 1 MARS AU 1 DEC."
"SB-PJ-A","\P 20h30-21h30 MAR. VEN. 1 AVRIL AU 1 DEC."
"SB-PK","\P 19h30-20h30 MAR. VEN. 1 MARS AU 1 DEC."
"SB-PK-A","\P 19h30-20h30 MAR. VEN. 1 AVRIL AU 1 DEC."
"SB-PL","\P 20h30-21h30 LUN. JEU. 1 MARS AU 1 DEC."
"SB-PL-A","\P 20h30-21h30 LUN. JEU. 1 AVRIL AU 1 DEC."
"SB-PM","\P 10h30-11h30 LUN. JEU."
"SB-PN","\P 21h-22h MAR. MER. VEN. 1 MARS AU 1 DEC."
"SB-PO","\P 22h30-23h30 LUN. JEU. 1 MARS AU 1 DEC."
"SB-PO-A","\P 22h30-23h30 LUN. JEU. 1 AVRIL AU 1 DEC."
"SB-PP","\P 21h30-22h30 MAR. VEN. 1 MARS AU 1 DEC."
"SB-PP-A","\P 21h30-22h30 MAR. VEN. 1 AVRIL AU 1 DEC."
"SB-PQ","\P 22h30-23h30 MAR. VEN. 1 MARS AU 1 DEC."
"SB-PQ-A","\P 22h30-23h30 MAR. VEN. 1 AVRIL AU 1 DEC."
"SB-PR","\P 16h30-17h30 LUN. MER. 1 MARS AU 1 DEC."
"SB-PS","\P 17h-18h LUN. MER. 1 MARS AU 1 DEC."
"SB-PS-A","\P 17h-18h LUN. MER. 1 AVRIL AU 1 DEC."
"SB-PT","\P 22h-24h MAR. ET VEN.  1 MARS AU 1 DEC."
"SB-PX-A","\P 17h-18h MAR ET JEU 1 AVRIL AU 1 DEC."
"SB-PY","\P 14h-16h MARDI VENDREDI"
"SB-QA","\P 09h-16h MER. VEN."
"SB-QC","\P 14h-15h LUN. VEN."
"SB-RB","\P 09h-15h MAR. VEN."
"SB-RC","\P 09h-16h LUN. JEU."
"SB-RD-A","\P 16h30-17h30 MAR. ET JEU. 1 AVRIL AU 1 DEC."
"SB-SA","\P 18h-19h LUN. JEU. 1 MARS AU 1 DEC."
"SB-SA-A","\P 18h-19h LUN. JEU. 1 AVRIL AU 1 DEC."
"SB-SB","\P 18h-19h MAR. VEN. 1 MARS AU 1 DEC."
"SB-SC","\P 20h-21h LUN. JEU. 1 MARS AU 1 DEC."
"SB-SC-A","\P 20h-21h LUN. JEU. 1 AVRIL AU 1 DEC."
"SB-SD","\P 20h-21h MAR. VEN. 1 MARS AU 1 DEC."
"SB-SD-A","\P 20h-21h MAR. VEN. 1 AVRIL AU 1 DEC."
"SB-SE","\P 21h-22h LUN. JEU. 1 MARS AU 1 DEC."
"SB-SE-A","\P 21h-22h LUN. JEU. 1 AVRIL AU 1 DEC."
"SB-SF","\P 21h-22h MAR. VEN. 1 MARS AU 1 DEC."
"SB-SF-A","\P 21h-22h MAR. VEN. 1 AVRIL AU 1 DEC."
"SB-SG","\P 22h-23h LUN. JEU. 1 MARS AU 1 DEC."
"SB-SG-A","\P 22h-23h LUN. JEU. 1 AVRIL AU 1 DEC."
"SB-SH","\P 22h-23h MAR. VEN. 1 MARS AU 1 DEC."
"SB-SH-A","\P 22h-23h MAR. VEN. 1 AVRIL AU 1 DEC."
"SB-SJ","\P 23h-24h LUN. JEU. 1 MARS AU 1 DEC."
"SB-SJ-A","\P 23h-24h LUN. JEU. 1 AVRIL AU 1 DEC."
"SB-SK","\P 23h-24h MAR. VEN. 1 MARS AU 1 DEC."
"SB-SK-A","\P 23h-24h MAR. VEN. 1 AVRIL AU 1 DEC."
"SB-SM","\P 19h-20h MAR. VEN. 1 MARS AU 1 DEC."
"SB-SM-A","\P 19h-20h MAR. VEN. 1 AVRIL AU 1 DEC."
"SB-SN","\P 18h30-19h30 LUN. JEU. 1 MARS AU 1 DEC."
"SB-SN-A","\P 18h30-19h30 LUN. JEU. 1 AVRIL AU 1 DEC."
"SB-SO","\P 18h30-19h30 LUN. MER. 1 MARS AU 1 DEC."
"SB-SO-A","\P 18h30-19h30 LUN. MER. 1 AVRIL AU 1 DEC."
"SB-SP","\P 18h30-19h30 MAR. JEU. 1 MARS AU 1 DEC."
"SB-SP-A","\P 18h30-19h30 MAR. JEU. 1 AVRIL AU 1 DEC."
"SB-SQ","\P 18h30-19h30 MAR. VEN. 1 MARSL AU 1 DEC."
"SB-ST","\P 19h-24h MAR. VEN. 1 MARS AU 1 DEC."
"SB-ST-A","\P 19h-24h MAR. VEN. 1 AVRIL AU 1 DEC."
"SB-SX","\P 19h-24h LUN. JEU. 1 MARS AU 1 DEC."
"SB-SX-A","\P 19h-24h LUN. JEU. 1 AVRIL AU 1 DEC."
"SB-SZ-A","\P 19h-22h MAR. JEU. 1 AVRIL AU 1 DEC."
"SB-UA","\P 19h-22h LUNDI ET JEUDI"
"SB-UC","\P 19h-22h MARDI ET VENDREDI"
"SB-UD","\P 21h-22h MARDI ET JEUDI"
"SB-UF","\P 19h-20h LUN ET MER 1 MARS AU 1 DEC."
"SB-UF-A","\P 19h-20h LUN ET MER 1 AVRIL AU 1 DEC."
"SB-UG","\P 19h-20h MAR ET JEU 1 MARS AU 1 DEC."
"SB-UG-A","\P 19h-20h MAR ET JEU 1 AVRIL AU 1 DEC."
"SB-UH","\P 21h30-22h30 LUN ET MER 1 MARS AU 1 DEC."
"SB-UH-A","\P 21h30-22h30 LUN ET MER 1AVRIL AU 1 DEC."
"SB-UI","\P 20h30-21h30 MARDI ET JEUDI, 1ER MARS AU 1ER DEC."
"SB-UI-A","\P 20h30-21h30 MARDI ET JEUDI, 1ER AVRIL AU 1ER DEC."
"SB-UK","\P 22h30-23h30 LUN ET MER 1MARS AU 1 DEC."
"SB-UK-A","\P 22h30-23h30 LUN ET MER 1 AVRIL AU 1 DEC."
"SB-UL","\P 22h30-23h30 MAR ET JEU 1 MARS ET 1 DEC."
"SB-UL-A","\P 22h30-23h30 MAR ET JEU 1 AVRIL ET 1 DEC."
"SB-UM","\P 21h-22h LUN ET MER 1 MARS AU 1 DEC."
"SB-UM-A","\P 21h-22h LUN ET MER 1 AVRIL AU 1 DEC."
"SB-UN","\P 18h-19h MAR ET JEU 1 MARS AU 1 DEC."
"SB-UN-A","\P 18h-19h MAR ET JEU 1 AVRIL AU 1 DEC."
"SB-UO","\P 18h-19h LUN ET MER 1 MARS AU 1 DEC."
"SB-UO-A","\P 18h-19h LUN ET MER 1 AVRIL AU 1 DEC."
"SB-UP","\P 21h30 - 22h30 MAR et JEU 1 MARS au 1 DEC"
"SB-UP-A","\P 21h30 - 22h30 MAR et JEU 1 AVRIL au 1 DEC"
"SB-UQ","\P 19h30-20h30 LUN et MER 1 MARS AU 1 DEC."
"SB-UQ-A","\P 19h30-20h30 LUN et MER 1 AVRIL AU 1 DEC."
"SB-UR","\P 20h30-21h30 LUN ET MER 1 MARS AU 1 DEC."
"SB-UR-A","\P 20h30-21h30 LUN ET MER 1 AVRIL AU 1 DEC."
"SB-US","\P 18H-24H MARDI ET VENDREDI"
"SB-UT","\P 22h - 23h MAR et JEU 1 MARS au 1 DEC"
"SB-UT-A","\P 22h - 23h MAR et JEU 1 AVRIL au 1 DEC"
"SB-UU-A","\P 21h-22h MAR et JEU 1 AVRIL au 1 DEC"
"SB-UY-A","\P 23H30-00h30 MAR et JEU 1 AVRIL au 1 DEC"
"SB-UZ-A","\P 20h-21h LUN. MER. 1 AVRIL AU 1 DEC."
"SB-VA","\P 08h-09h MAR. VEN. 1 MARS AU 1 DEC."
"SB-VA-A","\P 08h-09h MAR. VEN. 1 AVRIL AU 1 DEC."
"SB-VB","\P 08h30-09h30 MAR. VEN. 1 MARS AU 1 DEC."
"SB-VB-A","\P 08h30-09h30 MAR. VEN. 1 AVRIL AU 1 DEC."
"SB-VC","\P 09h-10h MAR. VEN. 1 MARS AU 1 DEC."
"SB-VC-A","\P 09h-10h MAR. VEN. 1 AVRIL AU 1 DEC."
"SB-VD","\P 09h30-10h30 MAR. VEN. 1 MARS AU 1 DEC."
"SB-VD-A","\P 09h30-10h30 MAR. VEN. 1 AVRIL AU 1 DEC."
"SB-VE","\P 10h-11h MAR. VEN. 1 MARS AU 1 DEC."
"SB-VE-A","\P 10h-11h MAR. VEN. 1 AVRIL AU 1 DEC."
"SB-VF","\P 10h30-11h30 MAR. VEN. 1 MARS AU 1 DEC."
"SB-VF-A","\P 10h30-11h30 MAR. VEN. 1 AVRIL AU 1 DEC."
"SB-VG","\P 11h-12h MAR. VEN. 1 MARS AU 1 DEC."
"SB-VH","\P 11h30-12h30 MAR. VEN. 1 MARS AU 1 DEC."
"SB-VJ","\P 12h-13h MAR. VEN. 1 MARS AU 1 DEC."
"SB-VJ-A","\P 12h-13h MAR. VEN. 1 AVRIL AU 1 DEC."
"SB-VK","\P 12h30-13h30 MAR. VEN. 1 MARS AU 1 DEC."
"SB-VK-A","\P 12h30-13h30 MAR. VEN. 1 AVRIL AU 1 DEC."
"SB-VM","\P 13h30-14h30 MAR. VEN. 1 MARS AU 1 DEC."
"SB-VM-A","\P 13h30-14h30 MAR. VEN. 1 AVRIL AU 1 DEC."
"SB-VO","\P 14h30-15h30 MAR. VEN. 1 MARS AU 1 DEC."
"SB-VR","\P 16h-17h MAR. VEN. 1 MARS AU 1 DEC."
"SB-VS","\P 13h-14h MAR. VEN. 1 MARS AU 1 DEC."
"SB-VS-A","\P 13h-14h MAR. VEN. 1 AVRIL AU 1 DEC."
"SB-VT","\P 14h-15h MAR. VEN. 1 MARS AU 1 DEC."
"SB-VT-A","\P 14h-15h MAR. VEN. 1 AVRIL AU 1 DEC."
"SB-VU","\P 17h30-18h30 MAR. VEN. 1 MARS AU 1 DEC."
"SB-VU-A","\P 17h30-18h30 MAR. VEN. 1 AVRIL AU 1 DEC."
"SB-VV","\P 07h30-08h30 MAR. VEN. 1 MARS AU 1 DEC."
